ticker,銘柄,ゲート,入力ID,入力項目,入力値,出所URLまたは資料名,ページまたは取得日時,公式確認,判定,不足,スコア反映,P1復帰,買付上限,理由
6503.T,三菱電機,財務ゲート,6503_per_official,PER,,,,未,未通過,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,禁止,0社,0円,必要項目が不足しているため、次ゲートへ進めない。
6503.T,三菱電機,財務ゲート,6503_pbr_official,PBR,,,,未,未通過,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,禁止,0社,0円,必要項目が不足しているため、次ゲートへ進めない。
6503.T,三菱電機,財務ゲート,6503_roe_official,ROE,,,,未,未通過,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,禁止,0社,0円,必要項目が不足しているため、次ゲートへ進めない。
6503.T,三菱電機,財務ゲート,6503_operating_margin,営業利益率,,,,未,未通過,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,禁止,0社,0円,必要項目が不足しているため、次ゲートへ進めない。
6503.T,三菱電機,財務ゲート,6503_order_or_segment_growth,受注・事業別売上/利益の伸び,,,,未,未通過,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,禁止,0社,0円,必要項目が不足しているため、次ゲートへ進めない。
6503.T,三菱電機,価格ゲート,6503_price_date,株価計算日,,,,未,未通過,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,禁止,0社,0円,必要項目が不足しているため、次ゲートへ進めない。
6503.T,三菱電機,価格ゲート,6503_current_price,直近株価,,,,未,未通過,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,禁止,0社,0円,必要項目が不足しているため、次ゲートへ進めない。
6503.T,三菱電機,価格ゲート,6503_return_60d,60日騰落率,,,,未,未通過,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,禁止,0社,0円,必要項目が不足しているため、次ゲートへ進めない。
6503.T,三菱電機,価格ゲート,6503_return_1y,1年騰落率,,,,未,未通過,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,禁止,0社,0円,必要項目が不足しているため、次ゲートへ進めない。
6503.T,三菱電機,価格ゲート,6503_cagr_5y,5年CAGR,,,,未,未通過,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,禁止,0社,0円,必要項目が不足しているため、次ゲートへ進めない。
6503.T,三菱電機,価格ゲート,6503_cagr_10y,10年CAGR,,,,未,未通過,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,禁止,0社,0円,必要項目が不足しているため、次ゲートへ進めない。
6503.T,三菱電機,価格ゲート,6503_max_drawdown_1y,1年最大下落率,,,,未,未通過,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,禁止,0社,0円,必要項目が不足しているため、次ゲートへ進めない。
6503.T,三菱電機,価格ゲート,6503_sp500_gap_1y,S&P500との差,,,,未,未通過,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,禁止,0社,0円,必要項目が不足しているため、次ゲートへ進めない。
6503.T,三菱電機,イベント後ゲート,6503_event_cpi_result,6月CPI結果,,,,未,未通過,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,禁止,0社,0円,必要項目が不足しているため、次ゲートへ進めない。
6503.T,三菱電機,イベント後ゲート,6503_event_boj_result,日銀会合結果,,,,未,未通過,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,禁止,0社,0円,必要項目が不足しているため、次ゲートへ進めない。
6503.T,三菱電機,イベント後ゲート,6503_event_fomc_result,FOMC結果,,,,未,未通過,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,禁止,0社,0円,必要項目が不足しているため、次ゲートへ進めない。
6503.T,三菱電機,イベント後ゲート,6503_post_event_index_reaction,イベント後指数反応,,,,未,未通過,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,禁止,0社,0円,必要項目が不足しているため、次ゲートへ進めない。
6503.T,三菱電機,イベント後ゲート,6503_post_event_ticker_reaction,イベント後個別株反応,,,,未,未通過,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,禁止,0社,0円,必要項目が不足しているため、次ゲートへ進めない。
6503.T,三菱電機,説明可能性ゲート,6503_one_line_reason,1行の残す理由,,,,未,未通過,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,禁止,0社,0円,必要項目が不足しているため、次ゲートへ進めない。
6503.T,三菱電機,説明可能性ゲート,6503_keep_condition,残す条件,,,,未,未通過,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,禁止,0社,0円,必要項目が不足しているため、次ゲートへ進めない。
6503.T,三菱電機,説明可能性ゲート,6503_drop_condition,落とす条件,,,,未,未通過,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,禁止,0社,0円,必要項目が不足しているため、次ゲートへ進めない。
6503.T,三菱電機,説明可能性ゲート,6503_unconfirmed_items,未確認事項,,,,未,未通過,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,禁止,0社,0円,必要項目が不足しているため、次ゲートへ進めない。
8035.T,東京エレクトロン,財務ゲート,8035_per_official,PER,,,,未,未通過,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,禁止,0社,0円,必要項目が不足しているため、次ゲートへ進めない。
8035.T,東京エレクトロン,財務ゲート,8035_pbr_official,PBR,,,,未,未通過,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,禁止,0社,0円,必要項目が不足しているため、次ゲートへ進めない。
8035.T,東京エレクトロン,財務ゲート,8035_roe_official,ROE,,,,未,未通過,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,禁止,0社,0円,必要項目が不足しているため、次ゲートへ進めない。
8035.T,東京エレクトロン,財務ゲート,8035_operating_margin,営業利益率,,,,未,未通過,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,禁止,0社,0円,必要項目が不足しているため、次ゲートへ進めない。
8035.T,東京エレクトロン,財務ゲート,8035_order_or_segment_growth,受注・事業別売上/利益の伸び,,,,未,未通過,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,禁止,0社,0円,必要項目が不足しているため、次ゲートへ進めない。
8035.T,東京エレクトロン,価格ゲート,8035_price_date,株価計算日,,,,未,未通過,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,禁止,0社,0円,必要項目が不足しているため、次ゲートへ進めない。
8035.T,東京エレクトロン,価格ゲート,8035_current_price,直近株価,,,,未,未通過,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,禁止,0社,0円,必要項目が不足しているため、次ゲートへ進めない。
8035.T,東京エレクトロン,価格ゲート,8035_return_60d,60日騰落率,,,,未,未通過,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,禁止,0社,0円,必要項目が不足しているため、次ゲートへ進めない。
8035.T,東京エレクトロン,価格ゲート,8035_return_1y,1年騰落率,,,,未,未通過,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,禁止,0社,0円,必要項目が不足しているため、次ゲートへ進めない。
8035.T,東京エレクトロン,価格ゲート,8035_cagr_5y,5年CAGR,,,,未,未通過,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,禁止,0社,0円,必要項目が不足しているため、次ゲートへ進めない。
8035.T,東京エレクトロン,価格ゲート,8035_cagr_10y,10年CAGR,,,,未,未通過,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,禁止,0社,0円,必要項目が不足しているため、次ゲートへ進めない。
8035.T,東京エレクトロン,価格ゲート,8035_max_drawdown_1y,1年最大下落率,,,,未,未通過,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,禁止,0社,0円,必要項目が不足しているため、次ゲートへ進めない。
8035.T,東京エレクトロン,価格ゲート,8035_sp500_gap_1y,S&P500との差,,,,未,未通過,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,禁止,0社,0円,必要項目が不足しているため、次ゲートへ進めない。
8035.T,東京エレクトロン,イベント後ゲート,8035_event_cpi_result,6月CPI結果,,,,未,未通過,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,禁止,0社,0円,必要項目が不足しているため、次ゲートへ進めない。
8035.T,東京エレクトロン,イベント後ゲート,8035_event_boj_result,日銀会合結果,,,,未,未通過,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,禁止,0社,0円,必要項目が不足しているため、次ゲートへ進めない。
8035.T,東京エレクトロン,イベント後ゲート,8035_event_fomc_result,FOMC結果,,,,未,未通過,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,禁止,0社,0円,必要項目が不足しているため、次ゲートへ進めない。
8035.T,東京エレクトロン,イベント後ゲート,8035_post_event_index_reaction,イベント後指数反応,,,,未,未通過,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,禁止,0社,0円,必要項目が不足しているため、次ゲートへ進めない。
8035.T,東京エレクトロン,イベント後ゲート,8035_post_event_ticker_reaction,イベント後個別株反応,,,,未,未通過,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,禁止,0社,0円,必要項目が不足しているため、次ゲートへ進めない。
8035.T,東京エレクトロン,説明可能性ゲート,8035_one_line_reason,1行の残す理由,,,,未,未通過,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,禁止,0社,0円,必要項目が不足しているため、次ゲートへ進めない。
8035.T,東京エレクトロン,説明可能性ゲート,8035_keep_condition,残す条件,,,,未,未通過,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,禁止,0社,0円,必要項目が不足しているため、次ゲートへ進めない。
8035.T,東京エレクトロン,説明可能性ゲート,8035_drop_condition,落とす条件,,,,未,未通過,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,禁止,0社,0円,必要項目が不足しているため、次ゲートへ進めない。
8035.T,東京エレクトロン,説明可能性ゲート,8035_unconfirmed_items,未確認事項,,,,未,未通過,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,禁止,0社,0円,必要項目が不足しているため、次ゲートへ進めない。
